model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,4077
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,4077,6908
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-foresight,0,4967
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,4967,4970
USENSYS,PJMC,PJMC_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,PJMC,PJMC_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1,2
USENSYS,PJMC,PJMC_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,1
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,8995
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,823
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-foresight,823,11698
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_2,Wind,MW,2050,26z-debug-foresight,11698,13321
USENSYS,PJMC,PJMC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,5892
USENSYS,PJMC,PJMC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-foresight,5892,17870
USENSYS,PJMC,PJMC_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,17870,21880
USENSYS,PJMD,PJMD_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,PJMD,PJMD_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,1652
USENSYS,PJMD,PJMD_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,1652,4170
USENSYS,PJMD,PJMD_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,215
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,305
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,626
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,6267
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-foresight,0,1064
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug-foresight,0,1400
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-foresight,0,2
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-foresight,0,2386
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug-foresight,0,16622
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug-foresight,16622,24038
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_4,Solar,MW,2050,26z-debug-foresight,24038,39999
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,2756
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-foresight,2756,7835
USENSYS,PJME,PJME_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
