model,zone,fuel,planning_year,case,unit,value
USENSYS,CASO,pacific_distillate,2050,26z-debug-foresight,MMBtu,-75
USENSYS,NWPP,pacific_distillate,2030,26z-debug-foresight,MMBtu,98
USENSYS,NWPP,pacific_distillate,2040,26z-debug-foresight,MMBtu,129
USENSYS,NWPP,pacific_distillate,2050,26z-debug-foresight,MMBtu,-44
USENSYS,CANO,pacific_naturalgas,2030,26z-debug-foresight,MMBtu,8051172
USENSYS,CANO,pacific_naturalgas,2040,26z-debug-foresight,MMBtu,42850728
USENSYS,CANO,pacific_naturalgas,2050,26z-debug-foresight,MMBtu,-310
USENSYS,CASO,pacific_naturalgas,2030,26z-debug-foresight,MMBtu,80930475
USENSYS,CASO,pacific_naturalgas,2040,26z-debug-foresight,MMBtu,60002382
USENSYS,CASO,pacific_naturalgas,2050,26z-debug-foresight,MMBtu,-260
USENSYS,NWPP,pacific_naturalgas,2030,26z-debug-foresight,MMBtu,102980
USENSYS,NWPP,pacific_naturalgas,2040,26z-debug-foresight,MMBtu,11849221
USENSYS,NWPP,pacific_naturalgas,2050,26z-debug-foresight,MMBtu,-86
USENSYS,CANO,pacific_naturalgas_ccs90,2030,26z-debug-foresight,MMBtu,1509
USENSYS,CANO,pacific_naturalgas_ccs90,2040,26z-debug-foresight,MMBtu,3769
