GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
Eastern_hydroelectric_pumped_storage_1,1984,31.0,480.5
Eastern_hydroelectric_pumped_storage_1,1982,124.0,1922.0
Eastern_hydroelectric_pumped_storage_1,1981,31.0,480.5
Eastern_hydroelectric_pumped_storage_1,1985,3003.0,46546.5
Eastern_hydroelectric_pumped_storage_1,1995,1035.0,16042.5
Eastern_hydroelectric_pumped_storage_1,1991,1440.0,22320.0
Eastern_hydroelectric_pumped_storage_1,1974,600.0,9300.0
Eastern_hydroelectric_pumped_storage_1,1970,482.0,7471.0
Eastern_natural_gas_fired_combined_cycle_1,2000,5691.2,.
Eastern_natural_gas_fired_combined_cycle_1,2023,6224.4,.
Eastern_natural_gas_fired_combined_cycle_1,2017,6261.8,.
Eastern_natural_gas_fired_combined_cycle_1,2002,28450.0,.
Eastern_natural_gas_fired_combined_cycle_1,1963,62.0,.
Eastern_natural_gas_fired_combined_cycle_1,1996,823.6,.
Eastern_natural_gas_fired_combined_cycle_1,1959,256.8,.
Eastern_natural_gas_fired_combined_cycle_1,1954,214.0,.
Eastern_natural_gas_fired_combined_cycle_1,2010,2965.3,.
Eastern_natural_gas_fired_combined_cycle_1,2019,6249.6,.
Eastern_natural_gas_fired_combined_cycle_1,2013,2212.2,.
Eastern_natural_gas_fired_combined_cycle_1,1969,813.0,.
Eastern_natural_gas_fired_combined_cycle_1,1958,325.9,.
Eastern_natural_gas_fired_combined_cycle_1,2001,11443.8,.
Eastern_natural_gas_fired_combined_cycle_1,2022,5931.1,.
Eastern_natural_gas_fired_combined_cycle_1,2016,4714.7,.
Eastern_natural_gas_fired_combined_cycle_1,2014,5460.2,.
Eastern_natural_gas_fired_combined_cycle_1,2003,26076.7,.
Eastern_natural_gas_fired_combined_cycle_1,1974,799.0,.
Eastern_natural_gas_fired_combined_cycle_1,2007,2983.0,.
Eastern_natural_gas_fired_combined_cycle_1,2018,18330.0,.
Eastern_natural_gas_fired_combined_cycle_1,2009,4733.2,.
Eastern_natural_gas_fired_combined_cycle_1,2021,3649.1,.
Eastern_natural_gas_fired_combined_cycle_1,1978,145.0,.
Eastern_natural_gas_fired_combined_cycle_1,1992,2177.4,.
Eastern_natural_gas_fired_combined_cycle_1,1956,35.0,.
Eastern_natural_gas_fired_combined_cycle_1,2008,2586.5,.
Eastern_natural_gas_fired_combined_cycle_1,1977,631.1,.
Eastern_natural_gas_fired_combined_cycle_1,2011,7194.2,.
Eastern_natural_gas_fired_combined_cycle_1,2012,6307.1,.
Eastern_natural_gas_fired_combined_cycle_1,1951,86.0,.
Eastern_natural_gas_fired_combined_cycle_1,1950,89.0,.
Eastern_natural_gas_fired_combined_cycle_1,1988,72.5,.
Eastern_natural_gas_fired_combined_cycle_1,1980,25.0,.
Eastern_natural_gas_fired_combined_cycle_1,1979,90.0,.
Eastern_natural_gas_fired_combined_cycle_1,1976,96.4,.
Eastern_natural_gas_fired_combined_cycle_1,1975,142.8,.
Eastern_natural_gas_fired_combined_cycle_1,1973,359.3,.
Eastern_natural_gas_fired_combined_cycle_1,2015,3142.0,.
Eastern_natural_gas_fired_combined_cycle_1,1961,282.1,.
Eastern_natural_gas_fired_combined_cycle_1,1966,355.9,.
Eastern_natural_gas_fired_combined_cycle_1,1987,256.0,.
Eastern_natural_gas_fired_combined_cycle_1,1971,23.0,.
Eastern_natural_gas_fired_combined_cycle_1,1965,258.0,.
Eastern_natural_gas_fired_combined_cycle_1,1968,16.7,.
Eastern_natural_gas_fired_combined_cycle_1,1945,5.6,.
Eastern_natural_gas_fired_combined_cycle_1,1970,118.0,.
Eastern_natural_gas_fired_combined_cycle_1,1997,1453.6,.
Eastern_natural_gas_fired_combined_cycle_1,1995,1648.1,.
Eastern_natural_gas_fired_combined_cycle_1,2006,3670.7,.
Eastern_natural_gas_fired_combined_cycle_1,2005,8031.6,.
Eastern_natural_gas_fired_combined_cycle_1,1953,65.0,.
Eastern_natural_gas_fired_combined_cycle_1,1990,2696.8,.
Eastern_natural_gas_fired_combined_cycle_1,1994,4161.1,.
Eastern_natural_gas_fired_combined_cycle_1,1981,261.0,.
Eastern_natural_gas_fired_combined_cycle_1,1993,1427.6,.
Eastern_natural_gas_fired_combined_cycle_1,1991,1794.8,.
Eastern_natural_gas_fired_combined_cycle_1,1989,1214.5,.
Eastern_natural_gas_fired_combined_cycle_1,1999,1627.0,.
Eastern_natural_gas_fired_combined_cycle_1,1967,315.0,.
Eastern_natural_gas_fired_combined_cycle_1,2004,15346.1,.
Eastern_natural_gas_fired_combined_cycle_1,1985,19.2,.
Eastern_natural_gas_fired_combined_cycle_1,1984,3.0,.
Eastern_natural_gas_fired_combined_cycle_1,1998,750.4,.
Eastern_natural_gas_fired_combined_cycle_1,1948,5.0,.
Eastern_natural_gas_fired_combined_cycle_1,1986,11.5,.
Eastern_natural_gas_fired_combined_cycle_1,1962,88.6,.
