Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,117,26540,24289,37604,40885,59905,33352,18241,29151,42734,54141,19754,16120,18964,19983,64608,58142,23117,13031,9001,21267,38380,37246,43334,28261,64134,2850
,,,,,,,,118,24085,22410,34694,37118,35857,31751,16575,28211,40423,49781,15697,13208,18381,18495,55296,53252,19413,12365,8448,20542,34951,35102,39584,25640,61390,2728
,,,,,,,,119,21487,19439,30090,33450,31378,29810,15305,26634,36156,42838,14563,12325,17016,16881,50518,49618,18162,11565,7786,19546,32213,32625,36307,23399,58002,2577
,,,,,,,,120,20149,18207,28187,30853,30252,27934,14201,24956,32882,40162,13954,11785,15952,15707,47422,46696,16300,10635,7114,18209,30828,30907,34199,21925,53374,2372
,,,,,,,,121,18823,16854,26092,29281,29448,26771,13239,23470,30815,36628,12929,10920,14944,14811,44024,44243,14798,9969,6589,17079,29986,29937,33052,20117,49327,2192
,,,,,,,,122,17435,15187,23507,28400,28475,26180,12743,22375,29514,32879,12265,10336,14477,14463,43065,43351,13988,9644,6287,16009,29842,29458,32481,18635,46446,2064
,,,,,,,,123,16707,13922,21542,28131,28227,25780,12457,21582,28805,30328,11829,9972,14102,14345,42498,42773,13495,9472,6171,15458,30108,29355,32584,17654,44762,1989
,,,,,,,,124,16238,13065,20210,29160,28046,25773,12379,21193,28376,28900,11655,9797,14005,14379,42958,42960,13428,9380,6141,15211,31330,29902,33676,17180,43894,1950
,,,,,,,,125,16111,12493,19326,32072,28389,26313,12554,21106,28758,28310,11584,9708,14128,14747,43863,43946,13536,9564,6246,15227,33457,31156,35845,17046,44104,1960
,,,,,,,,126,16097,12149,18796,37291,29531,27481,13440,21635,29710,28083,12010,10000,14549,16082,47722,47476,13699,9864,6505,15457,38181,34029,40171,17172,45044,2001
,,,,,,,,127,16413,12207,18885,40390,39589,30347,15679,23544,33091,28899,14214,11550,15923,18141,56916,54078,13794,10716,7130,16637,41704,37531,44687,17824,49068,2180
,,,,,,,,128,17226,12500,19337,41034,52781,33081,17317,25520,38429,30538,16373,13303,18487,19447,61478,57785,14932,11907,8131,18332,41594,38388,45464,19394,56335,2503
,,,,,,,,129,19216,13695,21187,39191,51503,33147,17366,27045,41468,34838,16583,13673,19188,18910,58841,55812,17014,12595,8777,19861,38419,36901,43535,21815,60601,2693
,,,,,,,,130,21073,15870,24566,36956,47612,31732,16776,26453,40435,41833,15827,13282,18586,18226,55630,53098,18546,12307,8626,19526,35310,34872,40905,23173,59049,2624
,,,,,,,,131,21705,17275,26740,35477,43791,30762,16701,25954,39355,45692,15460,13014,17995,17402,53886,51930,18514,11992,8357,19218,33265,33281,38580,22940,57603,2560
,,,,,,,,132,21235,17420,26956,35845,41344,30487,16523,25351,39173,44772,14969,12707,17982,17258,52243,50938,17918,11922,8339,18757,32497,32683,37790,22199,57318,2547
,,,,,,,,133,20840,17220,26634,35993,39494,30213,16628,25616,39201,42328,14735,12567,17592,17251,51204,50380,17880,11911,8435,18898,32349,32550,37809,21572,57671,2563
,,,,,,,,134,20708,17568,27171,35833,37637,29961,16550,25904,39597,42513,14311,12270,17440,16920,50095,49510,18134,11908,8522,18989,31641,32258,37415,21587,58019,2578
,,,,,,,,135,20803,17951,27763,36250,37302,29667,16538,25792,39332,42367,14227,12195,17334,16867,50068,49096,18733,11801,8587,18912,31821,31980,37247,21715,58067,2580
,,,,,,,,136,20853,18206,28159,38126,38527,30335,17002,25906,39726,42579,14666,12486,17507,17688,52507,50688,18800,11824,8712,19021,34194,33279,39309,21743,58448,2597
,,,,,,,,137,20850,18246,28220,42615,42254,31898,18003,27288,42167,42315,15470,13007,17984,19017,57181,53748,19389,12356,9274,19850,39040,36502,43785,21957,60770,2700
,,,,,,,,138,21442,18603,28775,48199,47480,34551,19874,29080,46302,43313,16632,13809,19251,21347,64250,58790,21207,13324,10088,20915,43209,40519,49766,22891,63787,2835
,,,,,,,,139,23166,19726,30521,45338,49804,35972,19676,30893,50421,47280,16977,14156,20076,20106,60372,56882,23550,14586,10845,22338,39550,39332,48040,24539,67102,2982
,,,,,,,,140,25643,21286,32948,40085,48494,33204,17701,29797,46323,53030,16204,13596,18576,17794,54121,51682,26286,13950,10242,21815,34868,35608,42742,26920,66659,2962
