case,value,model,zone,resource_name,tech_type,planning_year,timestep,unit
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,all,MWh
cap_only,40577267.726920985,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
greenfield,121134049.68239121,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
no_battery,42886148.39960275,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
no_tx,67151132.20156378,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
no_tx_battery,63828456.62195187,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
no_tx_battery_hydro,69529881.19473869,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
single_zone,127985613.37553348,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,all,MWh
cap_only,1543960.0093228444,SWITCH,Eastern,Eastern_batteries_1,Battery,2040,all,MWh
existing_only,708737.3103072399,SWITCH,Eastern,Eastern_batteries_1,Battery,2040,all,MWh
no_tx,1521073.64994495,SWITCH,Eastern,Eastern_batteries_1,Battery,2040,all,MWh
