GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
Eastern_conventional_hydroelectric_1,1965,0,0,.,0
Eastern_conventional_hydroelectric_1,1966,0,0,.,0
Eastern_conventional_hydroelectric_1,1967,0,0,.,0
Eastern_conventional_hydroelectric_1,1968,0,0,.,0
Eastern_conventional_hydroelectric_1,1969,0,0,.,0
Eastern_conventional_hydroelectric_1,1970,0,0,.,0
Eastern_conventional_hydroelectric_1,1971,0,0,.,0
Eastern_conventional_hydroelectric_1,1972,0,0,.,0
Eastern_conventional_hydroelectric_1,1973,0,0,.,0
Eastern_conventional_hydroelectric_1,1974,0,0,.,0
Eastern_conventional_hydroelectric_1,1975,0,0,.,0
Eastern_conventional_hydroelectric_1,1977,0,0,.,0
Eastern_conventional_hydroelectric_1,1978,0,0,.,0
Eastern_conventional_hydroelectric_1,1979,0,0,.,0
Eastern_conventional_hydroelectric_1,1980,0,0,.,0
Eastern_conventional_hydroelectric_1,1981,0,0,.,0
Eastern_conventional_hydroelectric_1,1982,0,0,.,0
Eastern_conventional_hydroelectric_1,1983,0,0,.,0
Eastern_conventional_hydroelectric_1,1984,0,0,.,0
Eastern_conventional_hydroelectric_1,1985,0,0,.,0
Eastern_conventional_hydroelectric_1,1986,0,0,.,0
Eastern_conventional_hydroelectric_1,1987,0,0,.,0
Eastern_conventional_hydroelectric_1,1988,0,0,.,0
Eastern_conventional_hydroelectric_1,1989,0,0,.,0
Eastern_conventional_hydroelectric_1,1990,0,0,.,0
Eastern_conventional_hydroelectric_1,1991,0,0,.,0
Eastern_conventional_hydroelectric_1,1992,0,0,.,0
Eastern_conventional_hydroelectric_1,1993,0,0,.,0
Eastern_conventional_hydroelectric_1,1994,0,0,.,0
Eastern_conventional_hydroelectric_1,1995,0,0,.,0
Eastern_conventional_hydroelectric_1,1996,0,0,.,0
Eastern_conventional_hydroelectric_1,1997,0,0,.,0
Eastern_conventional_hydroelectric_1,1999,0,0,.,0
