resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2030,base_short_50,MW,1.6,1.6,,
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2030,base_short_50,MW,12.0,12.0,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,10.7,10.7,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.05,0.05,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,1.8,1.8,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,2.5,2.5,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.25,0.25,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,9.7,9.7,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,11.2,11.2,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,7.05,7.05,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.7,0.7,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.25,0.25,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.5,0.5,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,12.0,12.0,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,7.5,7.5,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,9.9,9.9,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,3.05,3.05,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,7.0,7.0,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,7.85,7.85,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,13.25,13.25,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,6.15,6.15,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,10.8,10.8,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.9,0.9,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.65,0.65,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,13.4,13.4,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,15.4,15.4,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,4.7,4.7,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,10.0,10.0,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,1.05,1.05,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,1.65,1.65,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.4,0.4,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,6.5,6.5,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,8.0,8.0,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.55,0.55,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,1.7999999999999998,1.7999999999999998,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.6,0.6,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,0.05,0.05,,
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_short_50,MW,1.15,1.15,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,15.0,15.0,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,10.0,10.0,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,48.0,48.0,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,187.1,187.1,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,33.3,33.3,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,247.5,247.5,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,387.9,387.9,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,1425.6,1425.6,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,425.4,425.4,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,25.1,25.1,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,477.6,477.6,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,847.4,847.4,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,508.9,508.9,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,1688.9,1688.9,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,566.0,566.0,,
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_short_50,MW,663.0,663.0,,
BASN_utilitypv_class1_moderate_0,BASN,Solar,SWITCH,2030,base_short_50,MW,0.0,60.071042670339985,0.0,
BASN_utilitypv_class1_moderate_1,BASN,Solar,SWITCH,2030,base_short_50,MW,0.0,3700.624570499999,0.0,
BASN_utilitypv_class1_moderate_3,BASN,Solar,SWITCH,2030,base_short_50,MW,0.0,1344.3968898,0.0,
BASN_utilitypv_class1_moderate_5,BASN,Solar,SWITCH,2030,base_short_50,MW,0.0,3450.2679292,0.0,
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,0.5,0.5,1.0,1.0
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,0.5,0.5,0.9,0.9
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,1.0,1.0,1.3,1.3
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,619.9,619.9,2480.8,2480.8
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,603.8,603.8,2411.8,2411.8
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,1071.0,1071.0,4284.0,4284.0
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_short_50,MW,379.0,379.0,1516.0,1516.0
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,3.6693699,3.6693699,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,6.104792400000002,6.104792400000002,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,6.061496,6.061496,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,1.8292729,1.8292729,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,1.1365305,1.1365305,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,0.1623615,0.1623615,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,2.9441552000000004,2.9441552000000004,,
CANO_biomass_1,CANO,Other,SWITCH,2030,base_short_50,MW,2.5977840000000003,2.5977840000000003,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.9416967,0.9416967,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,1.731856,1.731856,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,1.9483380000000003,1.9483380000000003,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,4.870845000000001,4.870845000000001,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,2.8250901000000006,2.8250901000000006,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,16.0521403,16.0521403,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.3680194,0.3680194,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.3030748,0.3030748,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.0432964,0.0432964,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.9092244,0.9092244,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.324723,0.324723,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.2056579,0.2056579,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.4113158000000001,0.4113158000000001,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.4979086,0.4979086,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,2.4137743000000005,2.4137743000000005,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.7468629000000001,0.7468629000000001,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.1515374,0.1515374,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.4113158,0.4113158,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.2597784000000001,0.2597784000000001,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,1.1690028,1.1690028,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,1.6452632000000005,1.6452632000000005,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.3030748000000001,0.3030748000000001,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,1.1040582000000003,1.1040582000000003,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.974169,0.974169,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.8118075000000002,0.8118075000000002,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.216482,0.216482,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.757687,0.757687,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.324723,0.324723,,
CANO_biomass_2,CANO,Other,SWITCH,2030,base_short_50,MW,0.216482,0.216482,,
CANO_conventional_hydroelectric_1,CANO,Hydro,SWITCH,2030,base_short_50,MW,69.0,69.0,,
CANO_conventional_hydroelectric_1,CANO,Hydro,SWITCH,2030,base_short_50,MW,448.0,448.0,,
CANO_conventional_hydroelectric_1,CANO,Hydro,SWITCH,2030,base_short_50,MW,382.0,382.0,,
