GENERATION_PROJECT,build_year,build_gen_predetermined,gen_predetermined_storage_energy_mwh
CASO_small_hydroelectric_1,1971,8.6,.
CASO_small_hydroelectric_1,1958,2.7,.
CASO_small_hydroelectric_1,1986,20.7,.
CASO_small_hydroelectric_1,1983,13.5,.
CASO_small_hydroelectric_1,1984,5.0,.
CASO_small_hydroelectric_1,1985,10.0,.
CASO_small_hydroelectric_1,1994,24.9,.
CASO_small_hydroelectric_1,1980,4.9,.
CASO_small_hydroelectric_1,1981,26.2,.
CASO_small_hydroelectric_1,2001,29.7,.
CASO_small_hydroelectric_1,1990,31.8,.
CASO_small_hydroelectric_1,1989,1.4,.
CASO_small_hydroelectric_1,1987,7.5,.
CASO_small_hydroelectric_1,2002,1.5,.
CASO_small_hydroelectric_1,1993,4.3,.
CASO_solar_photovoltaic_1,2023,2851.4,.
CASO_solar_photovoltaic_1,2024,1100.0,.
CASO_solar_photovoltaic_1,2022,1677.0,.
CASO_solar_photovoltaic_1,2021,782.1,.
CASO_solar_photovoltaic_1,2026,90.0,.
FRCC_biomass_1,2012,21.0,.
FRCC_biomass_1,1950,21.0,.
FRCC_biomass_1,2011,8.5,.
FRCC_biomass_1,1964,7.7,.
FRCC_biomass_1,1956,8.4,.
FRCC_biomass_1,1965,7.0,.
FRCC_biomass_1,1953,3.4,.
FRCC_biomass_1,2007,12.0,.
FRCC_biomass_1,2006,48.6,.
FRCC_biomass_1,2004,14.1,.
FRCC_biomass_1,2013,106.5,.
FRCC_biomass_1,2015,97.2,.
FRCC_biomass_1,2014,8.0,.
FRCC_biomass_1,1996,74.9,.
FRCC_biomass_1,2025,20.0,.
FRCC_biomass_1,2019,1.6,.
FRCC_biomass_1,2017,8.4,.
FRCC_conventional_hydroelectric_1,2003,14.5,.
FRCC_conventional_hydroelectric_1,2002,14.5,.
FRCC_conventional_hydroelectric_1,2001,14.5,.
FRCC_conventional_steam_coal_1,1987,445.0,.
FRCC_conventional_steam_coal_1,1996,453.0,.
FRCC_natural_gas_fired_combined_cycle_1,2023,1129.7,.
FRCC_natural_gas_fired_combined_cycle_1,2010,300.0,.
FRCC_natural_gas_fired_combined_cycle_1,2013,1393.0,.
FRCC_natural_gas_fired_combined_cycle_1,1969,764.0,.
FRCC_natural_gas_fired_combined_cycle_1,1958,141.0,.
FRCC_natural_gas_fired_combined_cycle_1,2001,1811.7,.
FRCC_natural_gas_fired_combined_cycle_1,2000,1059.0,.
FRCC_natural_gas_fired_combined_cycle_1,2022,2539.2,.
FRCC_natural_gas_fired_combined_cycle_1,2016,1338.0,.
FRCC_natural_gas_fired_combined_cycle_1,2014,1393.0,.
FRCC_natural_gas_fired_combined_cycle_1,2003,1962.0,.
FRCC_natural_gas_fired_combined_cycle_1,2002,2588.5,.
FRCC_natural_gas_fired_combined_cycle_1,1974,360.0,.
FRCC_natural_gas_fired_combined_cycle_1,2007,2192.0,.
FRCC_natural_gas_fired_combined_cycle_1,2018,1884.0,.
FRCC_natural_gas_fired_combined_cycle_1,2009,3997.0,.
FRCC_natural_gas_fired_combined_cycle_1,2021,38.0,.
FRCC_natural_gas_fired_combined_cycle_1,1992,90.0,.
FRCC_natural_gas_fired_combined_cycle_1,1956,35.0,.
FRCC_natural_gas_fired_combined_cycle_1,2008,537.1,.
FRCC_natural_gas_fired_combined_cycle_1,1977,145.0,.
FRCC_natural_gas_fired_combined_cycle_1,2005,2867.0,.
FRCC_natural_gas_fired_combined_cycle_1,1994,1186.0,.
FRCC_natural_gas_fired_combined_cycle_1,1995,235.6,.
FRCC_natural_gas_fired_combined_cycle_1,2011,1701.8,.
FRCC_natural_gas_fired_combined_cycle_1,2017,480.0,.
FRCC_natural_gas_fired_combined_cycle_1,1999,521.0,.
FRCC_natural_gas_fired_combined_cycle_1,1997,224.0,.
FRCC_natural_gas_fired_combined_cycle_1,1965,243.0,.
FRCC_natural_gas_fired_combined_cycle_1,1967,315.0,.
FRCC_natural_gas_fired_combined_cycle_1,2004,1299.0,.
FRCC_natural_gas_fired_combined_cycle_1,1993,385.0,.
FRCC_natural_gas_fired_combined_cycle_1,2019,1723.1,.
FRCC_natural_gas_fired_combined_cycle_1,2026,573.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2003,400.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2016,1581.3,.
FRCC_natural_gas_fired_combustion_turbine_1,2009,500.5,.
FRCC_natural_gas_fired_combustion_turbine_1,2021,784.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2005,96.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2006,310.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2001,505.2,.
FRCC_natural_gas_fired_combustion_turbine_1,2015,7.8,.
FRCC_natural_gas_fired_combustion_turbine_1,2002,2085.6,.
FRCC_natural_gas_fired_combustion_turbine_1,2007,180.0,.
FRCC_natural_gas_fired_combustion_turbine_1,2011,384.2,.
FRCC_natural_gas_internal_combustion_engine_1,2024,120.0,.
FRCC_natural_gas_internal_combustion_engine_1,2019,74.0,.
FRCC_natural_gas_internal_combustion_engine_1,2017,7.4,.
FRCC_natural_gas_internal_combustion_engine_1,2018,28.4,.
FRCC_natural_gas_internal_combustion_engine_1,2023,2.6,.
FRCC_nuclear_1,1972,859.0,.
FRCC_nuclear_1,1973,888.0,.
FRCC_nuclear_1,1976,1003.0,.
FRCC_nuclear_1,1983,987.0,.
FRCC_petroleum_liquids_1,2013,0.1,.
FRCC_petroleum_liquids_1,2012,2.5,.
FRCC_solar_photovoltaic_1,2023,1201.0,.
FRCC_solar_photovoltaic_1,2022,965.0,.
FRCC_solar_photovoltaic_1,2021,1029.3,.
FRCC_solar_photovoltaic_1,2024,1266.9,.
FRCC_solar_photovoltaic_1,2026,372.5,.
FRCC_solar_photovoltaic_1,2025,1043.0,.
ISNE_biomass_1,2016,8.6,.
ISNE_biomass_1,2011,3.3,.
ISNE_biomass_1,2013,140.1,.
ISNE_biomass_1,2017,3.2,.
ISNE_conventional_hydroelectric_1,1955,78.2,.
ISNE_conventional_hydroelectric_1,1954,66.9,.
ISNE_conventional_hydroelectric_1,1952,18.1,.
ISNE_conventional_hydroelectric_1,1983,15.0,.
ISNE_conventional_hydroelectric_1,1957,190.8,.
ISNE_conventional_hydroelectric_1,2023,4.6,.
ISNE_conventional_hydroelectric_1,2008,16.2,.
ISNE_conventional_hydroelectric_1,1987,12.8,.
ISNE_conventional_hydroelectric_1,1984,1.6,.
ISNE_conventional_hydroelectric_1,1988,5.4,.
ISNE_conventional_hydroelectric_1,1989,0.1,.
ISNE_conventional_hydroelectric_1,1975,7.6,.
ISNE_conventional_hydroelectric_1,1953,22.4,.
ISNE_conventional_hydroelectric_1,1967,12.1,.
ISNE_conventional_hydroelectric_1,1986,8.7,.
ISNE_conventional_hydroelectric_1,1980,3.2,.
ISNE_conventional_hydroelectric_1,1981,1.1,.
ISNE_hydroelectric_pumped_storage_1,1973,876.0,13578
ISNE_hydroelectric_pumped_storage_1,1972,292.0,4526
ISNE_hydroelectric_pumped_storage_1,1974,600.0,9300
ISNE_natural_gas_fired_combined_cycle_1,2019,514.8,.
ISNE_natural_gas_fired_combined_cycle_1,2002,2923.7,.
ISNE_natural_gas_fired_combined_cycle_1,1958,22.9,.
ISNE_natural_gas_fired_combined_cycle_1,1995,510.1,.
ISNE_natural_gas_fired_combined_cycle_1,1991,574.9,.
ISNE_natural_gas_fired_combined_cycle_1,1990,61.0,.
ISNE_natural_gas_fired_combined_cycle_1,2012,15.0,.
ISNE_natural_gas_fired_combined_cycle_1,1993,503.1,.
ISNE_natural_gas_fired_combined_cycle_1,1992,93.1,.
ISNE_natural_gas_fired_combined_cycle_1,2024,5.9,.
ISNE_natural_gas_fired_combined_cycle_1,2008,78.2,.
ISNE_natural_gas_fired_combined_cycle_1,1999,619.0,.
ISNE_natural_gas_fired_combined_cycle_1,1998,381.0,.
ISNE_natural_gas_fired_combined_cycle_1,2000,1094.6,.
ISNE_natural_gas_fired_combined_cycle_1,2001,1513.6,.
ISNE_natural_gas_fired_combined_cycle_1,2004,585.3,.
ISNE_natural_gas_fired_combined_cycle_1,2003,1640.0,.
ISNE_natural_gas_fired_combined_cycle_1,2018,1647.5,.
ISNE_natural_gas_fired_combined_cycle_1,2011,623.0,.
ISNE_natural_gas_fired_combined_cycle_1,2016,0.5,.
ISNE_natural_gas_fired_combined_cycle_1,2010,14.6,.
ISNE_natural_gas_fired_combined_cycle_1,2006,24.1,.
ISNE_natural_gas_fired_combustion_turbine_1,2019,574.7,.
ISNE_natural_gas_fired_combustion_turbine_1,2009,245.2,.
ISNE_natural_gas_fired_combustion_turbine_1,2022,64.6,.
ISNE_natural_gas_fired_combustion_turbine_1,2007,99.1,.
ISNE_natural_gas_fired_combustion_turbine_1,2003,32.5,.
ISNE_natural_gas_fired_combustion_turbine_1,2017,14.9,.
ISNE_natural_gas_fired_combustion_turbine_1,2013,7.5,.
ISNE_natural_gas_fired_combustion_turbine_1,2001,427.8,.
ISNE_natural_gas_fired_combustion_turbine_1,2004,7.6,.
ISNE_natural_gas_fired_combustion_turbine_1,2025,6.4,.
ISNE_natural_gas_fired_combustion_turbine_1,2011,22.4,.
ISNE_natural_gas_fired_combustion_turbine_1,2015,11.3,.
ISNE_natural_gas_fired_combustion_turbine_1,2021,41.4,.
ISNE_natural_gas_fired_combustion_turbine_1,2018,98.6,.
ISNE_natural_gas_fired_combustion_turbine_1,2008,19.6,.
ISNE_natural_gas_fired_combustion_turbine_1,2006,6.2,.
ISNE_natural_gas_fired_combustion_turbine_1,2005,14.6,.
ISNE_natural_gas_fired_combustion_turbine_1,2023,59.0,.
ISNE_natural_gas_internal_combustion_engine_1,2019,7.1,.
ISNE_natural_gas_internal_combustion_engine_1,2013,2.0,.
ISNE_natural_gas_internal_combustion_engine_1,2015,4.5,.
ISNE_natural_gas_internal_combustion_engine_1,1994,5.2,.
ISNE_natural_gas_internal_combustion_engine_1,2021,4.0,.
ISNE_natural_gas_internal_combustion_engine_1,1999,1.9,.
ISNE_natural_gas_internal_combustion_engine_1,2009,4.8,.
ISNE_natural_gas_internal_combustion_engine_1,2004,2.6,.
ISNE_natural_gas_internal_combustion_engine_1,2002,3.9,.
ISNE_natural_gas_internal_combustion_engine_1,2010,1.9,.
ISNE_natural_gas_internal_combustion_engine_1,2017,2.0,.
ISNE_natural_gas_internal_combustion_engine_1,2014,12.5,.
