timepoint_id,tp_to_hts
475,2050_p5
476,2050_p5
477,2050_p5
478,2050_p5
479,2050_p5
480,2050_p5
481,2050_p5
482,2050_p5
483,2050_p5
484,2050_p5
485,2050_p5
486,2050_p5
487,2050_p5
488,2050_p5
489,2050_p5
490,2050_p5
491,2050_p5
492,2050_p5
493,2050_p5
494,2050_p5
495,2050_p5
496,2050_p5
497,2050_p5
498,2050_p5
499,2050_p5
500,2050_p5
501,2050_p5
502,2050_p5
503,2050_p5
504,2050_p5
505,2050_p48
506,2050_p48
507,2050_p48
508,2050_p48
509,2050_p48
510,2050_p48
511,2050_p48
512,2050_p48
513,2050_p48
514,2050_p48
515,2050_p48
516,2050_p48
517,2050_p48
518,2050_p48
519,2050_p48
520,2050_p48
521,2050_p48
522,2050_p48
523,2050_p48
524,2050_p48
525,2050_p48
526,2050_p48
527,2050_p48
528,2050_p48
529,2050_p48
530,2050_p48
531,2050_p48
532,2050_p48
533,2050_p48
534,2050_p48
535,2050_p48
536,2050_p48
537,2050_p48
538,2050_p48
539,2050_p48
540,2050_p48
541,2050_p48
542,2050_p48
543,2050_p48
544,2050_p48
545,2050_p48
546,2050_p48
547,2050_p48
548,2050_p48
549,2050_p48
550,2050_p48
551,2050_p48
552,2050_p48
553,2050_p48
554,2050_p48
555,2050_p48
556,2050_p48
557,2050_p48
558,2050_p48
559,2050_p48
560,2050_p48
561,2050_p48
562,2050_p48
563,2050_p48
564,2050_p48
565,2050_p48
566,2050_p48
567,2050_p48
568,2050_p48
569,2050_p48
570,2050_p48
571,2050_p48
572,2050_p48
573,2050_p48
574,2050_p48
575,2050_p48
576,2050_p48
577,2050_p48
578,2050_p48
579,2050_p48
580,2050_p48
581,2050_p48
582,2050_p48
583,2050_p48
584,2050_p48
585,2050_p48
586,2050_p48
587,2050_p48
588,2050_p48
589,2050_p48
590,2050_p48
591,2050_p48
592,2050_p48
593,2050_p48
594,2050_p48
595,2050_p48
596,2050_p48
597,2050_p48
598,2050_p48
599,2050_p48
600,2050_p48
601,2050_p48
602,2050_p48
603,2050_p48
604,2050_p48
605,2050_p48
606,2050_p48
607,2050_p48
608,2050_p48
609,2050_p48
610,2050_p48
611,2050_p48
612,2050_p48
613,2050_p48
614,2050_p48
615,2050_p48
616,2050_p48
617,2050_p48
618,2050_p48
619,2050_p48
620,2050_p48
621,2050_p48
622,2050_p48
623,2050_p48
624,2050_p48
625,2050_p48
626,2050_p48
627,2050_p48
628,2050_p48
629,2050_p48
630,2050_p48
631,2050_p48
632,2050_p48
633,2050_p48
634,2050_p48
635,2050_p48
636,2050_p48
637,2050_p48
638,2050_p48
639,2050_p48
640,2050_p48
641,2050_p48
642,2050_p48
643,2050_p48
644,2050_p48
645,2050_p48
646,2050_p48
647,2050_p48
648,2050_p48
649,2050_p48
650,2050_p48
651,2050_p48
652,2050_p48
653,2050_p48
654,2050_p48
655,2050_p48
656,2050_p48
657,2050_p48
658,2050_p48
659,2050_p48
660,2050_p48
661,2050_p48
662,2050_p48
663,2050_p48
664,2050_p48
665,2050_p48
666,2050_p48
667,2050_p48
668,2050_p48
669,2050_p48
670,2050_p48
671,2050_p48
