LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,1448,19192
BASN,1449,21815
BASN,1450,24235
BASN,1451,25281
BASN,1452,24726
BASN,1453,24262
BASN,1454,24623
BASN,1455,25160
BASN,1456,25622
BASN,1457,25746
BASN,1458,26079
BASN,1459,29202
BASN,1460,31918
BASN,1461,33935
BASN,1462,31086
BASN,1463,26968
BASN,1464,25035
BASN,1465,23066
BASN,1466,21235
BASN,1467,20102
BASN,1468,19322
BASN,1469,19012
BASN,1470,18857
BASN,1471,19228
BASN,1472,20136
BASN,1473,22441
BASN,1474,24724
BASN,1475,25775
BASN,1476,25051
BASN,1477,24285
BASN,1478,24342
BASN,1479,24836
BASN,1480,25213
BASN,1481,25228
BASN,1482,26118
BASN,1483,28407
BASN,1484,30927
BASN,1485,32746
