timepoint_id,timestamp,timeseries
613,2030_p42_108,2030_p42
614,2030_p42_109,2030_p42
615,2030_p42_110,2030_p42
616,2030_p42_111,2030_p42
617,2030_p42_112,2030_p42
618,2030_p42_113,2030_p42
619,2030_p42_114,2030_p42
620,2030_p42_115,2030_p42
621,2030_p42_116,2030_p42
622,2030_p42_117,2030_p42
623,2030_p42_118,2030_p42
624,2030_p42_119,2030_p42
625,2030_p42_120,2030_p42
626,2030_p42_121,2030_p42
627,2030_p42_122,2030_p42
628,2030_p42_123,2030_p42
629,2030_p42_124,2030_p42
630,2030_p42_125,2030_p42
631,2030_p42_126,2030_p42
632,2030_p42_127,2030_p42
633,2030_p42_128,2030_p42
634,2030_p42_129,2030_p42
635,2030_p42_130,2030_p42
636,2030_p42_131,2030_p42
637,2030_p42_132,2030_p42
638,2030_p42_133,2030_p42
639,2030_p42_134,2030_p42
640,2030_p42_135,2030_p42
641,2030_p42_136,2030_p42
642,2030_p42_137,2030_p42
643,2030_p42_138,2030_p42
644,2030_p42_139,2030_p42
645,2030_p42_140,2030_p42
646,2030_p42_141,2030_p42
647,2030_p42_142,2030_p42
648,2030_p42_143,2030_p42
649,2030_p42_144,2030_p42
650,2030_p42_145,2030_p42
651,2030_p42_146,2030_p42
652,2030_p42_147,2030_p42
653,2030_p42_148,2030_p42
654,2030_p42_149,2030_p42
655,2030_p42_150,2030_p42
656,2030_p42_151,2030_p42
657,2030_p42_152,2030_p42
658,2030_p42_153,2030_p42
659,2030_p42_154,2030_p42
660,2030_p42_155,2030_p42
661,2030_p42_156,2030_p42
662,2030_p42_157,2030_p42
663,2030_p42_158,2030_p42
664,2030_p42_159,2030_p42
665,2030_p42_160,2030_p42
666,2030_p42_161,2030_p42
667,2030_p42_162,2030_p42
668,2030_p42_163,2030_p42
669,2030_p42_164,2030_p42
670,2030_p42_165,2030_p42
671,2030_p42_166,2030_p42
672,2030_p42_167,2030_p42
673,2030_p11_0,2030_p11
674,2030_p11_1,2030_p11
675,2030_p11_2,2030_p11
676,2030_p11_3,2030_p11
677,2030_p11_4,2030_p11
678,2030_p11_5,2030_p11
679,2030_p11_6,2030_p11
680,2030_p11_7,2030_p11
681,2030_p11_8,2030_p11
682,2030_p11_9,2030_p11
683,2030_p11_10,2030_p11
684,2030_p11_11,2030_p11
685,2030_p11_12,2030_p11
686,2030_p11_13,2030_p11
687,2030_p11_14,2030_p11
688,2030_p11_15,2030_p11
689,2030_p11_16,2030_p11
690,2030_p11_17,2030_p11
691,2030_p11_18,2030_p11
692,2030_p11_19,2030_p11
693,2030_p11_20,2030_p11
694,2030_p11_21,2030_p11
695,2030_p11_22,2030_p11
696,2030_p11_23,2030_p11
697,2030_p11_24,2030_p11
698,2030_p11_25,2030_p11
699,2030_p11_26,2030_p11
700,2030_p11_27,2030_p11
701,2030_p11_28,2030_p11
702,2030_p11_29,2030_p11
703,2030_p11_30,2030_p11
704,2030_p11_31,2030_p11
705,2030_p11_32,2030_p11
706,2030_p11_33,2030_p11
707,2030_p11_34,2030_p11
708,2030_p11_35,2030_p11
709,2030_p11_36,2030_p11
710,2030_p11_37,2030_p11
711,2030_p11_38,2030_p11
712,2030_p11_39,2030_p11
713,2030_p11_40,2030_p11
714,2030_p11_41,2030_p11
715,2030_p11_42,2030_p11
716,2030_p11_43,2030_p11
717,2030_p11_44,2030_p11
718,2030_p11_45,2030_p11
719,2030_p11_46,2030_p11
720,2030_p11_47,2030_p11
721,2030_p11_48,2030_p11
722,2030_p11_49,2030_p11
723,2030_p11_50,2030_p11
724,2030_p11_51,2030_p11
725,2030_p11_52,2030_p11
726,2030_p11_53,2030_p11
727,2030_p11_54,2030_p11
728,2030_p11_55,2030_p11
729,2030_p11_56,2030_p11
730,2030_p11_57,2030_p11
731,2030_p11_58,2030_p11
732,2030_p11_59,2030_p11
733,2030_p11_60,2030_p11
734,2030_p11_61,2030_p11
735,2030_p11_62,2030_p11
736,2030_p11_63,2030_p11
737,2030_p11_64,2030_p11
738,2030_p11_65,2030_p11
739,2030_p11_66,2030_p11
740,2030_p11_67,2030_p11
741,2030_p11_68,2030_p11
742,2030_p11_69,2030_p11
743,2030_p11_70,2030_p11
744,2030_p11_71,2030_p11
745,2030_p11_72,2030_p11
746,2030_p11_73,2030_p11
747,2030_p11_74,2030_p11
748,2030_p11_75,2030_p11
749,2030_p11_76,2030_p11
750,2030_p11_77,2030_p11
751,2030_p11_78,2030_p11
752,2030_p11_79,2030_p11
753,2030_p11_80,2030_p11
754,2030_p11_81,2030_p11
755,2030_p11_82,2030_p11
756,2030_p11_83,2030_p11
757,2030_p11_84,2030_p11
758,2030_p11_85,2030_p11
759,2030_p11_86,2030_p11
760,2030_p11_87,2030_p11
761,2030_p11_88,2030_p11
762,2030_p11_89,2030_p11
763,2030_p11_90,2030_p11
764,2030_p11_91,2030_p11
765,2030_p11_92,2030_p11
766,2030_p11_93,2030_p11
767,2030_p11_94,2030_p11
768,2030_p11_95,2030_p11
769,2030_p11_96,2030_p11
770,2030_p11_97,2030_p11
771,2030_p11_98,2030_p11
772,2030_p11_99,2030_p11
773,2030_p11_100,2030_p11
774,2030_p11_101,2030_p11
775,2030_p11_102,2030_p11
776,2030_p11_103,2030_p11
777,2030_p11_104,2030_p11
778,2030_p11_105,2030_p11
779,2030_p11_106,2030_p11
